KREIS	Gemeinde	Anlage	Inbetriebnahme	Leistung	Nabenhöhe	Rotordurchmesser	Ostwert	Nordwert	Status
Hzgt.Lauenburg	Poggensee	0001 - WKA 1		4500 kW Nennleist. Rotor.	125	149	32605497	5944304	im Gen.Verf.
Hzgt.Lauenburg	Poggensee	0003 - WKA 3		4500 kW Nennleist. Rotor.	125	149	32606012	5943678	im Gen.Verf.
Hzgt.Lauenburg	Poggensee	0005 - WKA 5		4500 kW Nennleist. Rotor.	125	149	32606376	5943392	im Gen.Verf.
Hzgt.Lauenburg	Schiphorst	0005 - WKA5 NEG Micon 1000/60	2003	1000 kW Nennleist. Rotor.	60	70	32595606	5953365	in Betrieb
Hzgt.Lauenburg	Schiphorst	0007 - WKA7 NEG Micon 1000/60	2003	1000 kW Nennleist. Rotor.	60	70	32595543	5953118	in Betrieb
Hzgt.Lauenburg	Schiphorst	0008 - WKA8 NEG Micon 1000/60	2003	1000 kW Nennleist. Rotor.	60	70	32595542	5952899	in Betrieb
Hzgt.Lauenburg	Schiphorst	0006 - WKA6 NEG Micon 1000/60	2003	1000 kW Nennleist. Rotor.	60	70	32595760	5953029	in Betrieb
Hzgt.Lauenburg	Siebenbäumen	0007 - WKA 7 Vestas V112	2015	3075 kW Nennleist. Rotor.	119	112	32602118	5958112	in Betrieb
Hzgt.Lauenburg	Siebenbäumen	0001 - WKA 1 Vestas V112	2015	3075 kW Nennleist. Rotor.	119	112	32601570	5957868	in Betrieb
Hzgt.Lauenburg	Wangelau	0003 - WKA 3	2014	2400 kW Nennleist. Rotor.	120	117,8	32604170	5923761	in Betrieb
Hzgt.Lauenburg	Wangelau	0006 - WKA 6	2014	2400 kW Nennleist. Rotor.	120	117,8	32603747	5924466	in Betrieb
Hzgt.Lauenburg	Wangelau	0002 - WKA 2	2014	2400 kW Nennleist. Rotor.	120	117,8	32603851	5923506	in Betrieb
Hzgt.Lauenburg	Wangelau	0001 - WKA 1	2014	2400 kW Nennleist. Rotor.	120	117,8	32603663	5923244	in Betrieb
Hzgt.Lauenburg	Wangelau	0005 - WKA 5	2014	2400 kW Nennleist. Rotor.	120	117,8	32603924	5924227	in Betrieb
Hzgt.Lauenburg	Wangelau	0004 - WKA 4	2014	2400 kW Nennleist. Rotor.	120	117,8	32603838	5923881	in Betrieb
Hzgt.Lauenburg	Witzeeze	0003 - WEA 3		2400 kW Nennleist. Rotor.	120	116,8	32604384	5924927	im Gen.Verf.
Hzgt.Lauenburg	Witzeeze	0002 - WEA 2		2400 kW Nennleist. Rotor.	120	116,8	32604231	5924617	im Gen.Verf.
Hzgt.Lauenburg	Witzeeze	0001 - WEA 1		2400 kW Nennleist. Rotor.	120	116,8	32603900	5924821	im Gen.Verf.
Hzgt.Lauenburg	Woltersdorf	0002 - WKA AN BONUS 1,3 MW/62 - CombiStall	2002	1300 kW Nennleist. Rotor.	68	62	32608941	5938489	in Betrieb
Hzgt.Lauenburg	Woltersdorf	0005 - Enercon E 138		4200 kW Nennleist. Rotor.	131	138	32609854	5938207	im Gen.Verf.
Hzgt.Lauenburg	Woltersdorf	0004 - WKA AN BONUS 1,3 MW/62 - CombiStall	2002	1300 kW Nennleist. Rotor.	68	62	32609590	5938609	in Betrieb
Hzgt.Lauenburg	Woltersdorf	0001 - WKA AN BONUS 1,3 MW/62  - CombiStall	2002	1300 kW Nennleist. Rotor.	68	62	32608697	5938534	in Betrieb
Hzgt.Lauenburg	Woltersdorf	0003 - WKA AN BONUS 1,3 MW/62 - CombiStall	2002	1300 kW Nennleist. Rotor.	68	62	32609336	5938648	in Betrieb
Hzgt.Lauenburg	Woltersdorf	0001 - WKA AN BONUS 1,3 MW/62 - CombiStall	2002	1300 kW Nennleist. Rotor.	68	62	32608842	5938779	in Betrieb
Hzgt.Lauenburg	Woltersdorf	0002 - WKA AN BONUS 1,3 MW/62 - CombiStall	2002	1300 kW Nennleist. Rotor.	68	62	32609137	5938782	in Betrieb
Nordfriesland	Achtrup	0001 - WKA Siemens SWT 3.3-130		3300 kW Nennleist. Rotor.	85	130	32506999	6072150	im Gen.Verf.
Nordfriesland	Achtrup	0002 - WKA Siemens SWT 3.3-130		3300 kW Nennleist. Rotor.	115	130	32506730	6071652	im Gen.Verf.
Nordfriesland	Achtrup	0003 - WKA Senvion 4.2M140		4200 kW Nennleist. Rotor.	110	140	32507110	6071445	vor Inbetriebnahme
Nordfriesland	Achtrup	0004 - WKA Senvion 4.2M140		4200 kW Nennleist. Rotor.	110	140	32506602	6071270	vor Inbetriebnahme
Nordfriesland	Achtrup	0006 - WKA Senvion 4.2M140		4200 kW Nennleist. Rotor.	110	140	32507149	6071058	vor Inbetriebnahme
Nordfriesland	Achtrup	0005 - WKA Senvion 4.2M140		4200 kW Nennleist. Rotor.	110	140	32507533	6071136	vor Inbetriebnahme
Nordfriesland	Achtrup	0010 - WKA 6 Enercon E82 - 827002	2017	2350 kW Nennleist. Rotor.	85	82	32504296	6071467	in Betrieb
Nordfriesland	Achtrup	0011 - WKA 4 Enercon E115 - 1150 687	2017	3000 kW Nennleist. Rotor.	92	115	32504905	6071569	in Betrieb
Nordfriesland	Achtrup	0012 - WKA 5 Enercon E115 - 1150 688	2017	3000 kW Nennleist. Rotor.	92	115	32505031	6071024	in Betrieb
Nordfriesland	Achtrup	0001 - WKA 1 E-126		4200 kW Nennleist. Rotor.	96		32506704	6071690	im Gen.Verf.
Nordfriesland	Achtrup	0008 - WKA 2 Enercon E115 - 1150 685	2017	3000 kW Nennleist. Rotor.	92	115	32504723	6071204	in Betrieb
Nordfriesland	Achtrup	0007 - WKA 1 Enercon E115 - 1150 684	2017	3000 kW Nennleist. Rotor.	92	115	32504574	6071656	in Betrieb
Nordfriesland	Achtrup	0009 - WKA 3 Enercon E115 - 1150 686	2017	3000 kW Nennleist. Rotor.	92	115	32505194	6071382	in Betrieb
Nordfriesland	Achtrup	0001 - WKA 1 Vestas V112- 3.0 MW - V204981	2014	3075 kW Nennleist. Rotor.	94	112	32506241	6070935	in Betrieb
