"KREIS";"GEMEINDE";"TYP";"HERSTELLER";"NABENHOEHE";"ROTORDURCHMESSER";"SCHALLLEISTUNGSPEGEL";"LEISTUNG";"LEISTUNGSBEZUG";"OSTWERT";"NORDWERT";"GENEHMIGT_AM";"INBETRIEBNAHME";"STATUS";"BST_NR";"ANL_NR";"DATENDATUM";"DATENQUELLE"
"Dithmarschen";"Barlt";"WKA 5 Enercon E101";"Enercon";"99";"101";"106,0 dB(A), 104,0 dB(A) ";3050;"kW Nennleist. Rotor.";32504280;5983200;15.08.2014;14.09.2015;"in Betrieb";"51006506692";"0005";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 1 REpower 3.2M114";"REpower";"93";"114";"105,2 dB(A), 103,7dB(A)";3200;"kW Nennleist. Rotor.";32505189;5983955;06.08.2014;28.04.2015;"in Betrieb";"51006506693";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 105,2dB(A)";3200;"kW Nennleist. Rotor.";32505721;5983498;06.08.2014;23.04.2015;"in Betrieb";"51006506694";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA REpower 3.2M114";"REpower";"93";"114";"105,2 dB(A)/105,2 dB(A)";3170;"kW Nennleist. Rotor.";32500684;5985304;11.02.2015;03.03.2016;"in Betrieb";"51006506695";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,3dB(A)";3200;"kW Nennleist. Rotor.";32504599;5984159;06.08.2014;09.06.2015;"in Betrieb";"51006506696";"0001";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,7dB(A)";3200;"kW Nennleist. Rotor.";32504761;5983821;06.08.2014;23.06.2015;"in Betrieb";"51006506696";"0002";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 103,3dB(A)";3200;"kW Nennleist. Rotor.";32504362;5983845;06.08.2014;24.06.2015;"in Betrieb";"51006506696";"0003";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,2 dB(A)";3200;"kW Nennleist. Rotor.";32504565;5983531;06.08.2014;03.07.2015;"in Betrieb";"51006506696";"0004";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 104,0dB(A)";3200;"kW Nennleist. Rotor.";32504162;5983577;06.08.2014;09.07.2015;"in Betrieb";"51006506696";"0005";"13.07.2021";"LLUR SH, Abtl. 7"
"Dithmarschen";"Barlt";"WKA 6 REpower 3.2M 114";"REpower";"93";"114";"105,2 dB(A), 105,2 dB(A)";3200;"kW Nennleist. Rotor.";32505584;5983915;06.08.2014;28.05.2015;"in Betrieb";"51006506696";"0006";"13.07.2021";"LLUR SH, Abtl. 7"
